Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R145       R0402                  68.4mm          23mm        68.4mm          23mm        68.4mm        23.5mm  B        270.00 1R             
R140       R0402                  56.8mm        21.7mm        56.8mm        21.7mm        56.8mm        21.2mm  B         90.00 0R             
R139       R0402                   8.6mm         6.8mm         8.6mm         6.8mm         8.6mm         7.3mm  T        270.00 120k           
R138       R0402                   8.6mm         4.8mm         8.6mm         4.8mm         8.6mm         5.3mm  T        270.00 330k           
R136       R0402                   5.2mm          26mm         5.2mm          26mm         4.7mm          26mm  B        360.00 10k            
R134       R0402                  61.7mm        14.6mm        61.7mm        14.6mm        62.2mm        14.6mm  B        180.00 12k            
R132       R0402                   5.3mm        13.9mm         5.3mm        13.9mm         4.8mm        13.9mm  B        360.00 10k            
R130       R0402                   3.4mm        24.8mm         3.4mm        24.8mm         3.4mm        24.3mm  B         90.00 10k            
R129       R0402                     6mm         4.4mm           6mm         4.4mm         5.5mm         4.4mm  B        360.00 10k            
R128       R0402                  11.5mm          25mm        11.5mm          25mm        11.5mm        25.5mm  B        270.00 0R             
R127       R0402                  12.2mm        22.9mm        12.2mm        22.9mm        12.2mm        22.4mm  B         90.00 10k            
R126       R0402                   6.5mm        15.1mm         6.5mm        15.1mm           6mm        15.1mm  B        360.00 10k5           
R125       R0402                   4.9mm        15.5mm         4.9mm        15.5mm         4.9mm          15mm  B         90.00 200k           
R124       R0402                   6.2mm        24.3mm         6.2mm        24.3mm         6.2mm        23.8mm  B         90.00 200k           
R123       R0402                   6.5mm        16.4mm         6.5mm        16.4mm           6mm        16.4mm  B        360.00 39k            
R122       R0402                   1.5mm        17.9mm         1.5mm        17.9mm         1.5mm        17.4mm  B         90.00 1R             
R121       R0402                   1.4mm        22.2mm         1.4mm        22.2mm         1.4mm        21.7mm  B         90.00 1R             
R116       R0402                  13.2mm        19.2mm        13.2mm        19.2mm        13.2mm        19.7mm  B        270.00 0R             
R115       R0402                    32mm         4.5mm          32mm         4.5mm          32mm           5mm  T        270.00 10k            
R114       R0402                  32.1mm         1.9mm        32.1mm         1.9mm        32.1mm         1.4mm  T         90.00 220R           
R113       R0402                     8mm         4.4mm           8mm         4.4mm         8.5mm         4.4mm  B        180.00 220R           
R112       R0402                24.675mm      29.075mm      24.675mm      29.075mm      25.175mm      29.075mm  B        180.00 22R            
R110       R0402                  21.3mm         7.9mm        21.3mm         7.9mm        21.3mm         7.4mm  T         90.00 10k            
R109       R0402                  30.4mm         7.7mm        30.4mm         7.7mm        30.4mm         8.2mm  T        270.00 10k            
R102       R0402                  24.7mm        37.3mm        24.7mm        37.3mm        24.2mm        37.3mm  T        360.00 1k             
R101       R0402                   7.4mm        31.9mm         7.4mm        31.9mm         7.4mm        31.4mm  B         90.00 1k             
R99        R0402                  12.4mm        29.2mm        12.4mm        29.2mm        12.4mm        28.7mm  T         90.00 1k             
R98        R0402                  14.1mm        26.4mm        14.1mm        26.4mm        14.6mm        26.4mm  T        180.00 10k            
R97        R0402                  14.1mm        23.7mm        14.1mm        23.7mm        14.6mm        23.7mm  T        180.00 10k            
R96        R0402                  14.1mm        25.1mm        14.1mm        25.1mm        14.6mm        25.1mm  T        180.00 10k            
R95        R0402                  14.1mm        27.6mm        14.1mm        27.6mm        14.6mm        27.6mm  T        180.00 10k            
R94        R0402                20.025mm        38.5mm      20.025mm        38.5mm      20.525mm        38.5mm  T        180.00 10k            
R91        R0402                  14.1mm        22.5mm        14.1mm        22.5mm        14.6mm        22.5mm  T        180.00 10k            
R89        R0402                    11mm        29.2mm          11mm        29.2mm          11mm        28.7mm  T         90.00 4k99           
R88        R0402                  12.4mm        25.2mm        12.4mm        25.2mm        12.4mm        24.7mm  T         90.00 0R             
R86        R0402                    11mm        27.2mm          11mm        27.2mm          11mm        26.7mm  T         90.00 22R            
R85        R0402                   9.6mm        29.2mm         9.6mm        29.2mm         9.6mm        28.7mm  T         90.00 22R            
R84        R0402                  17.5mm        31.6mm        17.5mm        31.6mm          17mm        31.6mm  T        360.00 4k99           
R83        R0402                   7.7mm        30.3mm         7.7mm        30.3mm         8.2mm        30.3mm  B        180.00 22R            
R82        R0402                    22mm        38.5mm          22mm        38.5mm        21.5mm        38.5mm  T        360.00 220R           
R81        R0402                  24.7mm        38.5mm        24.7mm        38.5mm        25.2mm        38.5mm  T        180.00 220R           
R80        R0402                  18.5mm        24.9mm        18.5mm        24.9mm        18.5mm        25.4mm  B        270.00 0R             
R78        R0402                    26mm        10.4mm          26mm        10.4mm          26mm        10.9mm  B        270.00 0R             
R76        R0402                  28.6mm        10.4mm        28.6mm        10.4mm        28.6mm        10.9mm  B        270.00 0R             
R75        R0402                  14.1mm        28.8mm        14.1mm        28.8mm        14.6mm        28.8mm  T        180.00 10k            
R74        R0402                    30mm        29.1mm          30mm        29.1mm          30mm        28.6mm  B         90.00 0R             
R70        R0402                     8mm         6.8mm           8mm         6.8mm         8.5mm         6.8mm  B        180.00 0R             
R69        R0402                   2.8mm         9.5mm         2.8mm         9.5mm         2.8mm           9mm  B         90.00 10k            
R68        R0402                   1.4mm         9.5mm         1.4mm         9.5mm         1.4mm           9mm  B         90.00 10k            
R67        R0402                  63.8mm        10.2mm        63.8mm        10.2mm        64.3mm        10.2mm  B        180.00 10k            
R64        R0402                  21.1mm         2.6mm        21.1mm         2.6mm        21.6mm         2.6mm  T        180.00 10k            
R63        R0402                  21.1mm         1.4mm        21.1mm         1.4mm        21.6mm         1.4mm  T        180.00 10k            
R62        R0402                  25.8mm         2.6mm        25.8mm         2.6mm        25.3mm         2.6mm  T        360.00 10k            
R61        R0402                    22mm        11.7mm          22mm        11.7mm          22mm        11.2mm  B         90.00 1k             
R60        R0402                  61.7mm         2.5mm        61.7mm         2.5mm        61.7mm           3mm  B        270.00 10k            
R59        R0402                  61.4mm         9.7mm        61.4mm         9.7mm        61.4mm        10.2mm  B        270.00 4k99           
R57        R0402                   7.5mm        10.7mm         7.5mm        10.7mm           8mm        10.7mm  B        180.00 10k            
R56        R0402                   8.2mm         9.4mm         8.2mm         9.4mm         8.7mm         9.4mm  B        180.00 4k99           
R55        R0402                   7.5mm        13.1mm         7.5mm        13.1mm           8mm        13.1mm  B        180.00 4k99           
R49        R0402                32.075mm       31.67mm      32.075mm       31.67mm      32.575mm       31.67mm  T        180.00 10k            
R48        R0402                   5.4mm         9.5mm         5.4mm         9.5mm         5.4mm          10mm  B        270.00 10k            
R47        R0402                  35.6mm         8.2mm        35.6mm         8.2mm        35.1mm         8.2mm  T        360.00 4k99           
